id,behaviour,time
2.0,Head Up,0.0
2.0,Head Up,0.0
7.0,Graze,0.0
7.0,Graze,0.0
7.0,Occluded,0.0
2.0,Graze,0.0
7.0,Graze,0.0
2.0,Running,0.0
2.0,Walk,0.0
2.0,Walk,0.0
2.0,Graze,0.0
9.0,Graze,0.0
2.0,Graze,0.0
7.0,Walk,0.0
2.0,Head Up,0.0
4.0,Head Up,1.0
4.0,Head Up,2.0
4.0,Graze,2.0
4.0,Head Up,3.0
4.0,Head Up,3.0
4.0,Graze,3.0
4.0,Graze,4.0
4.0,Head Up,5.0
4.0,Head Up,6.0
4.0,Graze,6.0
4.0,Head Up,7.0
4.0,Graze,7.0
4.0,Graze,8.0
3.0,Walk,8.0
3.0,Walk,8.0
4.0,Head Up,9.0
4.0,Graze,10.0
4.0,Graze,11.0
4.0,Head Up,11.0
4.0,Head Up,12.0
4.0,Graze,13.0
4.0,Head Up,13.0
7.0,Graze,14.0
4.0,Graze,14.0
5.0,Out of Focus,14.0
4.0,Head Up,14.0
4.0,Walk,15.0
4.0,Graze,15.0
4.0,Head Up,16.0
3.0,Trotting,17.0
0.0,Running,17.0
8.0,Walk,17.0
4.0,Graze,17.0
4.0,Graze,18.0
4.0,Head Up,18.0
4.0,Head Up,19.0
4.0,Head Up,20.0
4.0,Graze,20.0
4.0,Graze,21.0
4.0,Graze,22.0
4.0,Head Up,22.0
4.0,Head Up,23.0
4.0,Head Up,24.0
4.0,Graze,24.0
4.0,Graze,25.0
5.0,Graze,25.0
4.0,Head Up,26.0
4.0,Graze,26.0
4.0,Head Up,27.0
4.0,Head Up,28.0
4.0,Graze,28.0
2.0,Walk,28.0
4.0,Head Up,29.0
4.0,Graze,29.0
3.0,Walk,29.0
4.0,Graze,30.0
5.0,Walk,30.0
4.0,Head Up,31.0
4.0,Graze,32.0
4.0,Graze,33.0
4.0,Head Up,33.0
4.0,Head Up,34.0
4.0,Graze,34.0
4.0,Graze,35.0
1.0,Graze,35.0
4.0,Head Up,35.0
4.0,Walk,36.0
2.0,Walk,36.0
4.0,Graze,36.0
4.0,Head Up,37.0
4.0,Graze,38.0
4.0,Head Up,39.0
4.0,Graze,40.0
4.0,Graze,41.0
4.0,Head Up,41.0
4.0,Head Up,42.0
4.0,Head Up,43.0
4.0,Graze,43.0
9.0,Graze,44.0
4.0,Graze,44.0
3.0,Graze,44.0
3.0,Auto-Groom,44.0
4.0,Head Up,45.0
3.0,Graze,45.0
3.0,Auto-Groom,45.0
4.0,Graze,45.0
4.0,Head Up,46.0
3.0,Auto-Groom,46.0
3.0,Graze,46.0
3.0,Graze,47.0
3.0,Auto-Groom,47.0
4.0,Graze,47.0
4.0,Head Up,48.0
4.0,Graze,48.0
3.0,Auto-Groom,48.0
3.0,Graze,49.0
4.0,Head Up,49.0
3.0,Auto-Groom,50.0
3.0,Graze,50.0
4.0,Graze,50.0
4.0,Head Up,50.0
3.0,Auto-Groom,51.0
3.0,Graze,51.0
4.0,Graze,51.0
3.0,Auto-Groom,52.0
4.0,Head Up,52.0
4.0,Graze,52.0
4.0,Head Up,53.0
3.0,Graze,53.0
4.0,Graze,54.0
3.0,Graze,54.0
4.0,Head Up,54.0
3.0,Auto-Groom,54.0
3.0,Graze,55.0
4.0,Graze,55.0
3.0,Auto-Groom,55.0
3.0,Auto-Groom,56.0
4.0,Graze,56.0
4.0,Head Up,56.0
5.0,Walk,57.0
3.0,Graze,57.0
2.0,Head Up,57.0
4.0,Head Up,57.0
3.0,Auto-Groom,58.0
3.0,Graze,58.0
4.0,Graze,58.0
4.0,Head Up,58.0
4.0,Graze,59.0
4.0,Head Up,59.0
3.0,Auto-Groom,59.0
3.0,Graze,60.0
4.0,Graze,60.0
3.0,Graze,61.0
4.0,Head Up,61.0
8.0,Head Up,61.0
3.0,Auto-Groom,61.0
9.0,Out of Focus,62.0
4.0,Graze,62.0
3.0,Auto-Groom,62.0
3.0,Graze,62.0
4.0,Head Up,63.0
4.0,Graze,63.0
3.0,Auto-Groom,63.0
3.0,Graze,64.0
4.0,Head Up,64.0
4.0,Head Up,65.0
3.0,Graze,65.0
3.0,Auto-Groom,65.0
4.0,Graze,65.0
3.0,Graze,66.0
3.0,Auto-Groom,66.0
4.0,Graze,66.0
4.0,Head Up,66.0
3.0,Auto-Groom,67.0
3.0,Graze,67.0
4.0,Graze,67.0
3.0,Trotting,68.0
4.0,Head Up,68.0
0.0,Walk,68.0
4.0,Graze,69.0
4.0,Head Up,70.0
4.0,Graze,70.0
4.0,Head Up,71.0
4.0,Head Up,72.0
4.0,Graze,72.0
4.0,Graze,73.0
4.0,Graze,74.0
4.0,Head Up,74.0
2.0,Head Up,74.0
4.0,Graze,75.0
4.0,Head Up,75.0
4.0,Graze,76.0
4.0,Head Up,77.0
4.0,Graze,77.0
4.0,Head Up,78.0
4.0,Head Up,79.0
4.0,Graze,79.0
4.0,Graze,80.0
7.0,Graze,80.0
4.0,Graze,81.0
4.0,Head Up,81.0
3.0,Graze,82.0
4.0,Head Up,82.0
4.0,Graze,83.0
4.0,Head Up,83.0
4.0,Graze,84.0
4.0,Head Up,85.0
4.0,Graze,85.0
4.0,Head Up,86.0
4.0,Graze,87.0
4.0,Head Up,87.0
4.0,Graze,88.0
4.0,Head Up,89.0
4.0,Graze,89.0
4.0,Head Up,90.0
4.0,Graze,91.0
4.0,Head Up,92.0
4.0,Graze,92.0
4.0,Trotting,93.0
4.0,Graze,93.0
4.0,Head Up,93.0
4.0,Head Up,94.0
4.0,Graze,95.0
2.0,Head Up,96.0
0.0,Trotting,103.0
5.0,Head Up,104.0
4.0,Walk,105.0
2.0,Graze,105.0
1.0,Walk,107.0
7.0,Graze,107.0
4.0,Walk,111.0
3.0,Walk,117.0
7.0,Head Up,118.0
1.0,Walk,120.0
2.0,Walk,123.0
1.0,Walk,135.0
4.0,Head Up,137.0
7.0,Head Up,140.0
2.0,Out of Focus,144.0
5.0,Graze,146.0
2.0,Out of Focus,146.0
11.0,Graze,147.0
1.0,Out of Frame,147.0
8.0,Sniff,152.0
5.0,Walk,157.0
8.0,Mutual Grooming,157.0
0.0,Head Up,160.0
2.0,Trotting,161.0
2.0,Graze,163.0
1.0,Trotting,173.0
3.0,Walk,174.0
4.0,Graze,175.0
6.0,Walk,177.0
2.0,Walk,188.0
4.0,Graze,192.0
4.0,Out of Frame,201.0
2.0,Occluded,201.0
3.0,Graze,204.0
3.0,Out of Frame,204.0
4.0,Graze,207.0
1.0,Occluded,209.0
7.0,Walk,209.0
4.0,Head Up,213.0
2.0,Walk,213.0
5.0,Walk,214.0
4.0,Trotting,217.0
1.0,Out of Frame,219.0
9.0,Out of Focus,224.0
5.0,Walk,225.0
3.0,Walk,225.0
11.0,Out of Focus,226.0
6.0,Out of Focus,226.0
6.0,Walk,231.0
7.0,Auto-Groom,232.0
2.0,Graze,233.0
8.0,Walk,240.0
9.0,Walk,240.0
2.0,Head Up,242.0
8.0,Graze,244.0
4.0,Walk,245.0
5.0,Trotting,252.0
7.0,Out of Focus,252.0
4.0,Walk,255.0
11.0,Out of Frame,256.0
9.0,Out of Frame,262.0
7.0,Walk,264.0
6.0,Out of Frame,264.0
1.0,Walk,266.0
3.0,Out of Frame,267.0
7.0,Out of Frame,269.0
3.0,Graze,269.0
8.0,Out of Frame,275.0
1.0,Graze,278.0
1.0,Graze,281.0
1.0,Head Up,284.0
4.0,Head Up,285.0
5.0,Walk,285.0
1.0,Out of Focus,291.0
6.0,Graze,294.0
1.0,Graze,295.0
1.0,Out of Focus,299.0
2.0,Walk,304.0
1.0,Graze,313.0
5.0,Graze,316.0
3.0,Out of Focus,318.0
7.0,Graze,318.0
7.0,Walk,319.0
1.0,Head Up,321.0
1.0,Out of Focus,321.0
8.0,Head Up,322.0
1.0,Graze,323.0
2.0,Graze,326.0
5.0,Walk,330.0
4.0,Head Up,331.0
4.0,Running,333.0
1.0,Head Up,337.0
6.0,Graze,339.0
4.0,Graze,340.0
3.0,Walk,340.0
4.0,Walk,341.0
6.0,Graze,342.0
3.0,Walk,345.0
5.0,Head Up,353.0
6.0,Walk,358.0
1.0,Head Up,359.0
6.0,Out of Focus,360.0
4.0,Head Up,367.0
4.0,Head Up,369.0
5.0,Graze,370.0
4.0,Walk,371.0
4.0,Out of Frame,372.0
4.0,Walk,383.0
8.0,Head Up,384.0
6.0,Walk,386.0
7.0,Graze,392.0
4.0,Head Up,393.0
7.0,Out of Focus,396.0
6.0,Running,397.0
8.0,Out of Focus,397.0
8.0,Walk,406.0
6.0,Head Up,412.0
8.0,Out of Frame,412.0
6.0,Out of Focus,413.0
6.0,Trotting,413.0
6.0,Head Up,414.0
4.0,Graze,415.0
8.0,Head Up,415.0
1.0,Out of Frame,422.0
4.0,Walk,424.0
6.0,Walk,424.0
3.0,Head Up,426.0
3.0,Walk,427.0
8.0,Occluded,429.0
0.0,Walk,433.0
4.0,Auto-Groom,435.0
1.0,Head Up,441.0
3.0,Graze,442.0
3.0,Trotting,442.0
2.0,Out of Frame,444.0
8.0,Out of Focus,446.0
2.0,Head Up,447.0
2.0,Walk,448.0
4.0,Walk,460.0
1.0,Graze,460.0
5.0,Walk,463.0
9.0,Walk,465.0
4.0,Graze,465.0
3.0,Walk,468.0
8.0,Occluded,470.0
8.0,Out of Focus,470.0
8.0,Graze,471.0
7.0,Head Up,471.0
4.0,Head Up,471.0
7.0,Head Up,475.0
5.0,Walk,476.0
8.0,Walk,478.0
5.0,Graze,480.0
1.0,Occluded,481.0
5.0,Out of Focus,483.0
0.0,Occluded,486.0
6.0,Walk,487.0
7.0,Graze,487.0
6.0,Out of Focus,489.0
7.0,Graze,501.0
0.0,Trotting,501.0
3.0,Walk,502.0
6.0,Graze,503.0
2.0,Head Up,505.0
7.0,Head Up,508.0
1.0,Trotting,509.0
11.0,Walk,509.0
12.0,Walk,510.0
13.0,Walk,516.0
5.0,Head Up,517.0
8.0,Out of Focus,534.0
8.0,Walk,536.0
3.0,Head Up,536.0
5.0,Walk,536.0
6.0,Walk,538.0
1.0,Mutual Grooming,540.0
3.0,Graze,541.0
7.0,Head Up,543.0
3.0,Head Up,548.0
6.0,Out of Frame,549.0
8.0,Head Up,550.0
8.0,Head Up,551.0
0.0,Head Up,551.0
5.0,Graze,554.0
3.0,Walk,555.0
3.0,Walk,555.0
1.0,Graze,559.0
4.0,Occluded,564.0
3.0,Graze,565.0
5.0,Walk,568.0
1.0,Walk,570.0
3.0,Head Up,583.0
8.0,Occluded,583.0
6.0,Head Up,585.0
9.0,Head Up,588.0
10.0,Graze,593.0
5.0,Head Up,600.0
6.0,Occluded,600.0
7.0,Walk,605.0
7.0,Out of Focus,605.0
7.0,Head Up,606.0
4.0,Walk,608.0
7.0,Out of Focus,608.0
5.0,Walk,608.0
7.0,Head Up,609.0
7.0,Out of Focus,610.0
6.0,Graze,611.0
1.0,Occluded,612.0
7.0,Head Up,612.0
3.0,Running,618.0
8.0,Walk,621.0
1.0,Walk,623.0
2.0,Walk,624.0
2.0,Walk,625.0
9.0,Head Up,628.0
8.0,Walk,629.0
4.0,Trotting,634.0
2.0,Walk,640.0
4.0,Out of Focus,642.0
1.0,Walk,643.0
4.0,Running,643.0
6.0,Head Up,643.0
2.0,Out of Focus,645.0
2.0,Head Up,648.0
1.0,Graze,653.0
8.0,Walk,654.0
5.0,Walk,656.0
5.0,Out of Focus,656.0
1.0,Graze,661.0
4.0,Walk,663.0
5.0,Walk,670.0
5.0,Walk,670.0
2.0,Out of Focus,676.0
8.0,Graze,677.0
2.0,Auto-Groom,679.0
4.0,Graze,681.0
2.0,Walk,681.0
1.0,Head Up,688.0
6.0,Walk,690.0
1.0,Walk,693.0
3.0,Graze,693.0
2.0,Head Up,695.0
13.0,Walk,701.0
6.0,Walk,703.0
5.0,Out of Focus,704.0
2.0,Head Up,714.0
2.0,Walk,719.0
8.0,Out of Focus,720.0
1.0,Walk,726.0
1.0,Walk,733.0
1.0,Out of Frame,733.0
8.0,Graze,741.0
9.0,Walk,741.0
2.0,Graze,742.0
1.0,Out of Focus,743.0
2.0,Graze,745.0
1.0,Walk,746.0
2.0,Walk,753.0
10.0,Graze,764.0
6.0,Graze,765.0
3.0,Out of Focus,779.0
5.0,Out of Focus,780.0
1.0,Head Up,781.0
5.0,Graze,782.0
8.0,Out of Frame,788.0
5.0,Graze,790.0
5.0,Walk,790.0
2.0,Head Up,795.0
10.0,Walk,796.0
7.0,Out of Frame,796.0
3.0,Graze,796.0
3.0,Walk,799.0
2.0,Graze,805.0
0.0,Out of Frame,811.0
10.0,Out of Focus,816.0
11.0,Head Up,817.0
1.0,Head Up,820.0
8.0,Out of Focus,820.0
3.0,Head Up,823.0
5.0,Graze,825.0
2.0,Graze,826.0
2.0,Occluded,828.0
6.0,Walk,833.0
6.0,Graze,842.0
6.0,Head Up,843.0
7.0,Out of Focus,845.0
9.0,Out of Focus,846.0
10.0,Out of Focus,847.0
6.0,Walk,850.0
5.0,Out of Focus,854.0
5.0,Graze,863.0
1.0,Occluded,865.0
4.0,Head Up,866.0
2.0,Auto-Groom,867.0
10.0,Walk,869.0
15.0,Walk,870.0
2.0,Head Up,871.0
1.0,Auto-Groom,873.0
4.0,Out of Focus,875.0
4.0,Running,877.0
5.0,Running,881.0
3.0,Running,883.0
7.0,Graze,883.0
2.0,Walk,885.0
15.0,Walk,887.0
5.0,Walk,893.0
3.0,Walk,893.0
15.0,Head Up,895.0
1.0,Head Up,899.0
3.0,Walk,900.0
18.0,Head Up,908.0
15.0,Graze,908.0
2.0,Graze,910.0
13.0,Head Up,912.0
3.0,Trotting,912.0
10.0,Head Up,914.0
6.0,Walk,917.0
6.0,Head Up,919.0
4.0,Graze,923.0
5.0,Running,924.0
5.0,Walk,925.0
5.0,Running,926.0
5.0,Walk,927.0
13.0,Head Up,928.0
5.0,Running,928.0
4.0,Trotting,928.0
5.0,Walk,929.0
10.0,Walk,929.0
5.0,Running,930.0
5.0,Walk,931.0
2.0,Head Up,931.0
20.0,Graze,931.0
5.0,Running,932.0
4.0,Graze,933.0
5.0,Running,933.0
5.0,Walk,933.0
5.0,Walk,934.0
5.0,Running,935.0
9.0,Head Up,935.0
5.0,Head Up,946.0
12.0,Graze,952.0
5.0,Trotting,952.0
11.0,Walk,955.0
5.0,Out of Focus,955.0
5.0,Graze,956.0
5.0,Out of Focus,960.0
3.0,Graze,960.0
3.0,Walk,961.0
9.0,Graze,961.0
5.0,Graze,969.0
16.0,Walk,971.0
5.0,Trotting,973.0
5.0,Running,974.0
5.0,Trotting,975.0
2.0,Walk,975.0
5.0,Running,976.0
5.0,Trotting,977.0
5.0,Running,978.0
5.0,Trotting,979.0
2.0,Out of Focus,980.0
5.0,Running,980.0
5.0,Trotting,981.0
17.0,Graze,981.0
5.0,Running,982.0
5.0,Out of Focus,983.0
5.0,Trotting,983.0
5.0,Trotting,984.0
5.0,Running,984.0
5.0,Running,985.0
5.0,Trotting,986.0
5.0,Graze,989.0
13.0,Walk,1001.0
2.0,Running,1014.0
8.0,Out of Focus,1019.0
2.0,Head Up,1020.0
6.0,Head Up,1023.0
4.0,Running,1025.0
4.0,Graze,1027.0
4.0,Head Up,1027.0
5.0,Walk,1027.0
4.0,Graze,1028.0
4.0,Head Up,1028.0
4.0,Head Up,1029.0
4.0,Graze,1030.0
7.0,Head Up,1030.0
4.0,Head Up,1030.0
4.0,Graze,1031.0
4.0,Graze,1032.0
4.0,Head Up,1032.0
4.0,Head Up,1033.0
2.0,Walk,1033.0
4.0,Graze,1034.0
4.0,Head Up,1035.0
4.0,Out of Focus,1035.0
4.0,Graze,1036.0
4.0,Head Up,1036.0
4.0,Graze,1037.0
3.0,Graze,1038.0
4.0,Head Up,1038.0
4.0,Graze,1039.0
4.0,Head Up,1040.0
4.0,Graze,1040.0
4.0,Head Up,1041.0
4.0,Graze,1041.0
4.0,Head Up,1042.0
4.0,Head Up,1043.0
4.0,Graze,1043.0
4.0,Graze,1044.0
4.0,Graze,1045.0
11.0,Occluded,1045.0
4.0,Head Up,1045.0
8.0,Graze,1046.0
4.0,Head Up,1046.0
8.0,Out of Focus,1047.0
4.0,Graze,1047.0
4.0,Head Up,1048.0
4.0,Graze,1048.0
4.0,Head Up,1049.0
4.0,Graze,1050.0
7.0,Head Up,1050.0
4.0,Head Up,1050.0
4.0,Graze,1051.0
4.0,Head Up,1052.0
4.0,Graze,1052.0
7.0,Out of Frame,1052.0
4.0,Head Up,1053.0
4.0,Running,1053.0
7.0,Walk,1058.0
9.0,Head Up,1068.0
11.0,Walk,1069.0
11.0,Out of Frame,1072.0
3.0,Running,1072.0
8.0,Out of Focus,1075.0
4.0,Head Up,1075.0
12.0,Walk,1075.0
7.0,Walk,1076.0
8.0,Graze,1080.0
1.0,Walk,1082.0
1.0,Graze,1095.0
3.0,Head Up,1095.0
1.0,Head Up,1095.0
3.0,Graze,1096.0
3.0,Head Up,1096.0
28.0,Graze,1097.0
24.0,Occluded,1097.0
3.0,Head Up,1097.0
3.0,Graze,1097.0
26.0,Graze,1097.0
29.0,Graze,1097.0
23.0,Graze,1097.0
3.0,Graze,1098.0
5.0,Auto-Groom,1099.0
3.0,Out of Focus,1099.0
3.0,Head Up,1099.0
3.0,Head Up,1100.0
3.0,Graze,1100.0
3.0,Head Up,1101.0
3.0,Graze,1101.0
3.0,Head Up,1102.0
3.0,Graze,1102.0
11.0,Walk,1102.0
3.0,Head Up,1103.0
3.0,Graze,1103.0
3.0,Head Up,1104.0
3.0,Graze,1104.0
8.0,Walk,1105.0
3.0,Graze,1105.0
3.0,Head Up,1106.0
4.0,Out of Focus,1106.0
3.0,Graze,1107.0
3.0,Head Up,1107.0
3.0,Graze,1108.0
3.0,Head Up,1108.0
3.0,Graze,1109.0
3.0,Head Up,1110.0
3.0,Graze,1111.0
3.0,Head Up,1111.0
3.0,Graze,1112.0
3.0,Head Up,1112.0
3.0,Graze,1113.0
8.0,Graze,1113.0
3.0,Head Up,1114.0
3.0,Graze,1115.0
3.0,Head Up,1115.0
3.0,Head Up,1116.0
3.0,Graze,1116.0
3.0,Graze,1117.0
5.0,Head Up,1117.0
3.0,Head Up,1118.0
3.0,Graze,1119.0
3.0,Head Up,1119.0
3.0,Head Up,1120.0
3.0,Graze,1120.0
3.0,Head Up,1121.0
3.0,Graze,1121.0
5.0,Walk,1122.0
3.0,Head Up,1122.0
3.0,Graze,1122.0
3.0,Graze,1123.0
5.0,Head Up,1123.0
3.0,Head Up,1124.0
3.0,Graze,1124.0
15.0,Out of Focus,1125.0
3.0,Head Up,1125.0
3.0,Head Up,1126.0
3.0,Graze,1126.0
5.0,Out of Focus,1126.0
3.0,Graze,1127.0
3.0,Head Up,1127.0
3.0,Graze,1128.0
3.0,Head Up,1129.0
3.0,Head Up,1130.0
3.0,Graze,1130.0
3.0,Graze,1131.0
3.0,Head Up,1131.0
3.0,Head Up,1132.0
3.0,Graze,1132.0
3.0,Head Up,1133.0
3.0,Graze,1133.0
3.0,Head Up,1134.0
3.0,Graze,1134.0
3.0,Graze,1135.0
3.0,Head Up,1136.0
4.0,Walk,1136.0
3.0,Graze,1137.0
3.0,Head Up,1137.0
3.0,Head Up,1138.0
3.0,Graze,1138.0
3.0,Graze,1139.0
15.0,Head Up,1140.0
3.0,Head Up,1140.0
3.0,Head Up,1141.0
3.0,Graze,1141.0
14.0,Out of Focus,1142.0
15.0,Walk,1142.0
16.0,Head Up,1142.0
3.0,Graze,1142.0
3.0,Head Up,1142.0
3.0,Graze,1143.0
13.0,Out of Focus,1143.0
3.0,Head Up,1144.0
13.0,Head Up,1144.0
32.0,Graze,1145.0
3.0,Graze,1145.0
3.0,Head Up,1145.0
3.0,Graze,1146.0
3.0,Head Up,1146.0
3.0,Graze,1147.0
3.0,Head Up,1148.0
3.0,Graze,1149.0
3.0,Head Up,1149.0
3.0,Graze,1150.0
3.0,Head Up,1151.0
3.0,Head Up,1152.0
3.0,Graze,1152.0
3.0,Graze,1153.0
3.0,Head Up,1153.0
5.0,Head Up,1154.0
3.0,Graze,1154.0
3.0,Head Up,1155.0
12.0,Walk,1155.0
17.0,Head Up,1155.0
3.0,Graze,1156.0
3.0,Head Up,1156.0
3.0,Head Up,1157.0
3.0,Graze,1157.0
3.0,Graze,1158.0
3.0,Graze,1158.0
5.0,Head Up,1159.0
3.0,Head Up,1159.0
3.0,Head Up,1160.0
3.0,Graze,1160.0
18.0,Out of Focus,1161.0
3.0,Head Up,1161.0
3.0,Graze,1161.0
3.0,Head Up,1162.0
3.0,Graze,1162.0
3.0,Head Up,1163.0
3.0,Graze,1163.0
3.0,Head Up,1164.0
3.0,Graze,1164.0
3.0,Graze,1165.0
3.0,Head Up,1166.0
3.0,Graze,1167.0
3.0,Head Up,1167.0
13.0,Walk,1167.0
3.0,Head Up,1168.0
3.0,Graze,1168.0
3.0,Graze,1169.0
14.0,Head Up,1169.0
14.0,Graze,1170.0
3.0,Head Up,1170.0
18.0,Walk,1171.0
3.0,Head Up,1171.0
3.0,Graze,1171.0
3.0,Head Up,1172.0
3.0,Graze,1172.0
3.0,Graze,1173.0
3.0,Head Up,1174.0
3.0,Graze,1175.0
3.0,Head Up,1175.0
3.0,Graze,1176.0
7.0,Out of Frame,1177.0
3.0,Head Up,1177.0
3.0,Graze,1178.0
3.0,Head Up,1178.0
32.0,Walk,1179.0
3.0,Graze,1179.0
3.0,Head Up,1179.0
3.0,Graze,1180.0
3.0,Head Up,1181.0
3.0,Head Up,1182.0
3.0,Graze,1182.0
3.0,Head Up,1183.0
3.0,Graze,1183.0
3.0,Graze,1184.0
3.0,Head Up,1184.0
3.0,Graze,1185.0
3.0,Head Up,1185.0
3.0,Graze,1186.0
3.0,Head Up,1186.0
3.0,Graze,1187.0
3.0,Head Up,1188.0
3.0,Head Up,1189.0
3.0,Graze,1189.0
4.0,Trotting,1189.0
3.0,Head Up,1190.0
3.0,Graze,1190.0
3.0,Head Up,1191.0
3.0,Graze,1191.0
3.0,Head Up,1192.0
3.0,Graze,1192.0
3.0,Head Up,1193.0
3.0,Graze,1193.0
3.0,Graze,1194.0
2.0,Out of Frame,1195.0
3.0,Head Up,1195.0
20.0,Head Up,1196.0
3.0,Head Up,1196.0
3.0,Graze,1196.0
3.0,Graze,1197.0
3.0,Head Up,1197.0
3.0,Graze,1198.0
7.0,Graze,1199.0
3.0,Head Up,1199.0
3.0,Graze,1200.0
3.0,Head Up,1200.0
3.0,Head Up,1201.0
3.0,Graze,1201.0
3.0,Graze,1202.0
3.0,Head Up,1203.0
3.0,Head Up,1204.0
1.0,Walk,1204.0
3.0,Graze,1204.0
3.0,Head Up,1205.0
3.0,Graze,1205.0
8.0,Out of Focus,1205.0
3.0,Graze,1206.0
3.0,Head Up,1207.0
3.0,Graze,1208.0
3.0,Head Up,1208.0
13.0,Walk,1209.0
15.0,Walk,1209.0
11.0,Walk,1209.0
12.0,Walk,1209.0
14.0,Walk,1209.0
3.0,Graze,1209.0
3.0,Head Up,1210.0
8.0,Graze,1210.0
3.0,Head Up,1211.0
3.0,Graze,1211.0
3.0,Graze,1212.0
3.0,Head Up,1212.0
3.0,Graze,1213.0
3.0,Head Up,1214.0
3.0,Graze,1215.0
3.0,Head Up,1215.0
3.0,Head Up,1216.0
3.0,Graze,1216.0
3.0,Graze,1217.0
3.0,Head Up,1218.0
3.0,Head Up,1219.0
3.0,Graze,1219.0
3.0,Graze,1220.0
3.0,Head Up,1220.0
3.0,Graze,1221.0
3.0,Head Up,1221.0
3.0,Head Up,1222.0
3.0,Graze,1222.0
3.0,Graze,1223.0
3.0,Head Up,1223.0
3.0,Graze,1224.0
27.0,Graze,1224.0
20.0,Graze,1224.0
26.0,Graze,1224.0
23.0,Graze,1224.0
22.0,Graze,1224.0
24.0,Out of Focus,1224.0
21.0,Out of Focus,1224.0
19.0,Out of Frame,1224.0
3.0,Head Up,1225.0
5.0,Auto-Groom,1225.0
0.0,Graze,1225.0
3.0,Head Up,1226.0
3.0,Graze,1226.0
3.0,Head Up,1227.0
3.0,Graze,1227.0
13.0,Walk,1227.0
3.0,Graze,1228.0
3.0,Head Up,1229.0
13.0,Occluded,1229.0
3.0,Head Up,1230.0
3.0,Graze,1230.0
6.0,Walk,1230.0
3.0,Head Up,1231.0
3.0,Graze,1231.0
17.0,Out of Focus,1232.0
3.0,Graze,1232.0
17.0,Walk,1233.0
3.0,Head Up,1233.0
3.0,Head Up,1234.0
19.0,Walk,1234.0
3.0,Graze,1234.0
3.0,Graze,1235.0
3.0,Graze,1235.0
3.0,Head Up,1235.0
3.0,Graze,1236.0
3.0,Head Up,1236.0
3.0,Head Up,1237.0
3.0,Graze,1237.0
3.0,Head Up,1238.0
3.0,Graze,1238.0
3.0,Graze,1239.0
3.0,Head Up,1240.0
3.0,Graze,1241.0
3.0,Head Up,1241.0
3.0,Graze,1242.0
3.0,Head Up,1242.0
19.0,Out of Focus,1243.0
4.0,Walk,1243.0
3.0,Head Up,1243.0
3.0,Graze,1243.0
3.0,Head Up,1244.0
3.0,Graze,1244.0
3.0,Graze,1245.0
3.0,Head Up,1245.0
3.0,Graze,1246.0
3.0,Head Up,1247.0
3.0,Head Up,1248.0
3.0,Graze,1248.0
5.0,Head Up,1249.0
3.0,Graze,1249.0
3.0,Head Up,1249.0
3.0,Graze,1250.0
3.0,Head Up,1250.0
1.0,Head Up,1250.0
3.0,Graze,1251.0
14.0,Out of Focus,1251.0
3.0,Head Up,1251.0
13.0,Out of Focus,1251.0
